trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-208.15075935767902,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-223.433173630845,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-215.21120864041092,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-170.78355356770464,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,14,-43.070679413093735,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-57.96972407499773,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-93.33594438571781,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,13,13.891376840371871,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-56.20154507888239,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-131.95345347184235,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-154.59682122897132,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,6,-52.409959712145,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-90.37803630822438,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-59.72448445190468,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-80.6823146782478,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-23.93813490033874,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-61.26338376158389,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-26.78771634145983,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-6.849692547123791,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,15.000641911132591,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,1,32.99316211132402,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,12.27822324156471,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,17.249142493878864,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",25,0,-22.534792359883053,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,5,-19.932557657085983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",30,19,-23.226655196381238,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,12,4.564424941499867,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,22.571795805152245,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,-11.42981343821615,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,0,-27.088136948357874,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
