trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-77.10577246105346,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",25,0,-122.2061588561846,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",35,0,-212.73820717338512,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-85.77150998241979,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-88.28009611908686,"{0: 11, 1: 8, 2: 6, 3: 0, 4: 0}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",35,4,-203.5272274351754,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 3}",1
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,0,-174.00487263857806,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-159.4509837564417,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",20,0,-63.69422213316913,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-46.804193274315026,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",25,0,-253.08580876737344,"{0: 9, 1: 4, 2: 6, 3: 3, 4: 3}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",35,0,-158.70939668061723,"{0: 24, 1: 4, 2: 1, 3: 4, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-144.05753730196656,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,0,-107.17925130735958,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-136.53104506166554,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",35,0,-231.2095167321138,"{0: 20, 1: 4, 2: 6, 3: 1, 4: 4}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-127.42810461165091,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",30,0,-110.33125706284477,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",25,0,-116.76758323209323,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-185.34724962121442,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,6,-29.067166200653833,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
