trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.03686785182961,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-119.84533454968992,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-52.51469421731716,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.11940745518154,"{0: 12, 1: 5, 2: 4, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.32053097540782,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-178.26441885473366,"{0: 21, 1: 1, 2: 11, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.93933992199021,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-81.24767806999267,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-158.19109452172168,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",1
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-186.96351876566308,"{0: 19, 1: 5, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.7581236466009,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.58472569150498,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-302.27204815975654,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 6}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-153.15045859644673,"{0: 21, 1: 5, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.61065506506284,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-138.92032585206155,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.40913261142603,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,2,-164.6356050818479,"{0: 9, 1: 2, 2: 3, 3: 1, 4: 3}",1
19,False,"{'a': 0.5, 'e': 1.0}",30,1,-104.40120922174575,"{0: 19, 1: 4, 2: 4, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.40122013096256,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-149.28348709645667,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.1033161394619,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-76.14306754008473,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-146.9054296804448,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.5237661262411,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-125.9239723332274,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-189.7390672407938,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,6,-26.3378980648391,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-239.36019673379778,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 5}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.36834764647236,"{0: 8, 1: 9, 2: 6, 3: 1, 4: 1}",0
